BearID,year,MatLitID,sex,age,repro,N15,mass,headcirc,cort.kit,dam,Family.ID,cort,C13.suess,condition,fYEAR,fAGE,LitCort,LitCond,LitNit,MatCort,MatCond,Matd15N,CortRat,CondRat,NitRat
W0004,1999,W0004.1999,F,6,WithCubs,4.62,95,59,1,NA,W0004.1999,5.0114,-22.652,1.610169492,1999,6,4.36,0.98,5.44,5.0114,1.61,4.62,1.14940367,1.643030094,0.849264706
W0005,1999,,M,1,WithMother,5.44,45,46,1,W0004,W0004.1999,4.3646,-22.822,0.97826087,1999,1,4.36,0.98,5.44,,,,1.001055046,0.998225378,1
W0004,2001,W0004.2001,F,8,WithCubs,4.27,86,60,1,NA,W0004.2001,5.2956,-22.728,1.433333333,2001,8,5.34,0.61,4.71,5.2956,1.43,4.27,0.991685393,2.349726775,0.906581741
W0213,2001,,M,1,WithMother,4.69,24,42.5,1,W0004,W0004.2001,5.374,-22.978,0.564705882,2001,1,5.34,0.61,4.71,,,,1.006367041,0.925747348,0.995753715
W0214,2001,,F,1,WithMother,4.72,27,41.5,1,W0004,W0004.2001,5.3152,-23.038,0.65060241,2001,1,5.34,0.61,4.71,,,,0.995355805,1.066561328,1.002123142
W0004,2003,W0004.2003,F,10,WithCubs,4.02,95,62,2,NA,W0004.2003,6.34,-22.844,1.532258065,2003,10,8.21,0.68,4.46,6.34,1.53,4.02,0.772228989,2.253320684,0.901345291
W0422,2003,,F,1,WithMother,4.36,27,40,2,W0004,W0004.2003,7.75,-23.154,0.675,2003,1,8.21,0.68,4.46,,,,0.943970767,0.992647059,0.977578475
W0408,2003,,M,1,WithMother,4.56,29,42.5,2,W0004,W0004.2003,8.66,-23.254,0.682352941,2003,1,8.21,0.68,4.46,,,,1.054811206,1.003460207,1.022421525
W0004,2005,W0004.2005,F,12,WithCubs,4.47,95,64,1,NA,W0004.2005,5.913,-22.93,1.484375,2005,12,7.51,0.71,4.57,5.913,1.48,4.47,0.7873502,2.090669014,0.978118162
W0004,2007,W0004.2007,F,14,WithCubs,4.24,88,65,1,NA,W0004.2007,4.835,-22.966,1.353846154,2007,14,7.33,0.5,4.86,4.835,1.35,4.24,0.659618008,2.707692308,0.872427984
W0812,2007,,M,1,WithMother,4.81,16,38,1,W0004,W0004.2007,7.6476,-23.126,0.421052632,2007,1,7.33,0.5,4.86,,,,1.043328786,0.842105264,0.989711934
W0811,2007,,M,1,WithMother,4.83,22,42,1,W0004,W0004.2007,6.06,-23.106,0.523809524,2007,1,7.33,0.5,4.86,,,,0.826739427,1.047619048,0.99382716
W0810,2007,,M,1,WithMother,4.95,24,43,1,W0004,W0004.2007,8.2748,-23.206,0.558139535,2007,1,7.33,0.5,4.86,,,,1.128894952,1.11627907,1.018518519
W0812,2008,,M,2,WithMother,3.9,39,47,2,W0004,W0004.2008,11.08,-22.844,0.829787234,2008,2,9.71,0.91,3.97,,,,1.141091658,0.911854103,0.982367758
W0811,2008,,M,2,WithMother,3.96,45,48,2,W0004,W0004.2008,9.97,-22.754,0.9375,2008,2,9.71,0.91,3.97,,,,1.026776519,1.03021978,0.997481108
W0810,2008,,M,2,WithMother,4.06,48,50,2,W0004,W0004.2008,8.09,-22.764,0.96,2008,2,9.71,0.91,3.97,,,,0.833161689,1.054945055,1.022670025
W0010,2005,W0010.2005,F,7,WithCubs,4.37,83,60,2,W9403,W0010.2005,8.1,-23.55,1.383333333,2005,7,10.02,0.47,4.99,8.1,1.38,4.37,0.808383234,2.943262411,0.875751503
W0601,2005,,M,1,WithMother,4.99,18,38.5,2,W0010,W0010.2005,10.02,NA,0.467532468,2005,1,10.02,0.47,4.99,,,,1,0.994749932,1
W0010,2007,W0010.2007,F,9,WithCubs,3.7,81,58,1,W9403,W0010.2007,4.8252,-22.656,1.396551724,2007,9,7.29,0.38,4.22,4.8252,1.4,3.7,0.661893004,3.675136116,0.876777251
W0806,2007,,F,1,WithMother,4.14,15,39.5,1,W0010,W0010.2007,4.345,-22.916,0.379746835,2007,1,7.29,0.38,4.22,,,,0.596021948,0.999333776,0.981042654
W0807,2007,,M,1,WithMother,4.3,15,39,1,W0010,W0010.2007,10.2446,-23.036,0.384615385,2007,1,7.29,0.38,4.22,,,,1.405294925,1.01214575,1.018957346
W0018,2004,W0018.2004,F,6,WithCubs,4.27,82,58,1,W9504,W0018.2004,5.1486,-23.062,1.413793103,2004,6,7.32,0.44,4.8,5.1486,1.41,4.27,0.703360656,3.213166143,0.889583333
W0508,2004,,F,1,WithMother,4.8,17,38.5,1,W0018,W0018.2004,7.3242,-23.042,0.441558442,2004,1,7.32,0.44,4.8,,,,1.00057377,1.003541914,1
